Name,ID,URL,Date,Time,Venue,City,Country,Latitude,Longitude,Genre,SubGenre,PriceRange,Currency
Miami Heat vs. Los Angeles Lakers,vvG1VZb8D8f0Ar,https://www.ticketmaster.com/miami-heat-vs-los-angeles-lakers-miami-florida-12-04-2024/event/0D00610ED052415E,2024-12-04,19:30:00,Kaseya Center,Miami,United States Of America,25.781232,-80.187805,Basketball,NBA,95.0,USD
Detroit Red Wings vs. New Jersey Devils,vvG1OZbC1Jkebv,https://www.ticketmaster.com/detroit-red-wings-vs-new-jersey-detroit-michigan-11-29-2024/event/080060E2A6182601,2024-11-29,15:00:00,Little Caesars Arena,Detroit,United States Of America,42.341089,-83.055434,Hockey,NHL,67.0,USD
Jacksonville Jaguars vs. New York Jets,1AeFZbFGknk4ZMw,https://www.ticketmaster.com/jacksonville-jaguars-vs-new-york-jets-jacksonville-florida-12-15-2024/event/2200608A86540DF2,2024-12-15,13:00:00,EverBank Stadium ,Jacksonville,United States Of America,30.323887,-81.637357,Football,NFL,57.0,USD
Golden State Warriors vs. Los Angeles Lakers,G5vYZb8wkGeFM,https://www.ticketmaster.com/golden-state-warriors-vs-los-angeles-san-francisco-california-12-25-2024/event/1C00610C86302237,2024-12-25,17:00:00,Chase Center,San Francisco,United States Of America,37.76797,-122.387464,Basketball,NBA,295.0,USD
Cleveland Browns vs. Miami Dolphins,vv1AAZke8GkdnIggS,https://www.ticketmaster.com/cleveland-browns-vs-miami-dolphins-cleveland-ohio-12-29-2024/event/05006090EAA35D73,2024-12-29,20:20:00,Huntington Bank Field,Cleveland,United States Of America,41.50603554,-81.69956958,Football,NFL,58.0,USD
Seattle Kraken vs. Anaheim Ducks,vvG1HZbGnNtApZ,https://www.ticketmaster.com/seattle-kraken-vs-anaheim-ducks-seattle-washington-11-27-2024/event/0F0060CAA3A45580,2024-11-27,19:00:00,Climate Pledge Arena,Seattle,United States Of America,47.6221261,-122.35401604,Hockey,NHL,40.0,USD
Miami HEAT v. Toronto Raptors (NBA Cup Game),vvG1VZb8wRwsJ3,https://www.ticketmaster.com/miami-heat-v-toronto-raptors-nba-miami-florida-11-29-2024/event/0D00610CAFCB1992,2024-11-29,20:00:00,Kaseya Center,Miami,United States Of America,25.781232,-80.187805,Basketball,NBA,35.0,USD
Los Angeles Lakers vs. Portland Trail Blazers,G5eYZb8BApYEI,https://www.ticketmaster.com/los-angeles-lakers-vs-portland-trail-los-angeles-california-12-08-2024/event/2C00610E855B09E8,2024-12-08,18:30:00,Crypto.com Arena,Los Angeles,United States Of America,34.043003,-118.267253,Basketball,NBA,62.0,USD
Pittsburgh Penguins vs. Vancouver Canucks,17AOvOG6ul_YAcH,https://www.ticketmaster.com/pittsburgh-penguins-vs-vancouver-canucks-pittsburgh-pennsylvania-11-27-2024/event/160060DAD9C05B7C,2024-11-27,19:30:00,PPG Paints Arena,Pittsburgh,United States Of America,40.4388401,-79.9908551,Hockey,NHL,55.0,USD
Boston Bruins vs. Montreal Canadiens,vvG17ZbuE4qMpz,https://www.ticketmaster.com/boston-bruins-vs-montreal-canadiens-boston-massachusetts-12-01-2024/event/010060D9D57775B8,2024-12-01,15:00:00,TD Garden,Boston,United States Of America,42.365841,-71.060724,Hockey,NHL,205.0,USD
Dallas Mavericks vs. New York Knicks,vvG1YZb8XDVxJg,https://www.ticketmaster.com/dallas-mavericks-vs-new-york-knicks-dallas-texas-11-27-2024/event/0C00610FBBD229B5,2024-11-27,18:30:00,American Airlines Center,Dallas,United States Of America,32.79067196,-96.81081803,Basketball,NBA,99.0,USD
Detroit Red Wings vs. Vancouver Canucks,vvG1OZbC1J6eb6,https://www.ticketmaster.com/detroit-red-wings-vs-vancouver-canucks-detroit-michigan-12-01-2024/event/080060E2A61C2607,2024-12-01,12:30:00,Little Caesars Arena,Detroit,United States Of America,42.341089,-83.055434,Hockey,NHL,60.0,USD
Los Angeles Lakers vs. Sacramento Kings,G5eYZb8BAbOER,https://www.ticketmaster.com/los-angeles-lakers-vs-sacramento-kings-los-angeles-california-12-28-2024/event/2C00610E856209EF,2024-12-28,19:30:00,Crypto.com Arena,Los Angeles,United States Of America,34.043003,-118.267253,Basketball,NBA,120.0,USD
SACRAMENTO KINGS VS. LOS ANGELES LAKERS,G5vYZb2nbI76X,https://www.ticketmaster.com/sacramento-kings-vs-los-angeles-lakers-sacramento-california-12-19-2024/event/1C0060FA98A041FE,2024-12-19,19:00:00,Golden 1 Center,Sacramento,United States Of America,38.580372,-121.500231,Basketball,NBA,40.0,USD
Disney On Ice presents Into the Magic,k7vGFb2USA4Ih,https://www.ticketmaster.com/disney-on-ice-presents-into-the-albany-new-york-12-07-2024/event/000060FDB3155A1B,2024-12-07,11:00:00,MVP Arena,Albany,United States Of America,42.64834,-73.753957,Ice Shows,Ice Shows,20.0,USD
Hall of Fame: Arizona vs. UCLA,17k8vOG62Td2fo5,https://www.ticketmaster.com/hall-of-fame-arizona-vs-ucla-phoenix-arizona-12-14-2024/event/190060FFC33D444B,2024-12-14,13:00:00,Footprint Center,Phoenix,United States Of America,33.445899,-112.071313,Basketball,College,25.0,USD
West Coast Hoops Showdown,vv170ZbKGklCQ06N,https://www.ticketmaster.com/west-coast-hoops-showdown-inglewood-california-12-28-2024/event/0900613ACE6A41E3,2024-12-28,17:00:00,Intuit Dome,Inglewood,United States Of America,33.94432,-118.34285,Basketball,College,56.0,USD
Jacksonville Jaguars vs. Tennessee Titans,1AeFZbFGknk_YzA,https://www.ticketmaster.com/jacksonville-jaguars-vs-tennessee-titans-jacksonville-florida-12-29-2024/event/2200608A86670E05,2024-12-29,13:00:00,EverBank Stadium ,Jacksonville,United States Of America,30.323887,-81.637357,Football,NFL,81.0,USD
Disney On Ice presents Into the Magic,k7vGFb2USKAtH,https://www.ticketmaster.com/disney-on-ice-presents-into-the-albany-new-york-12-07-2024/event/000060FDB34C5A7C,2024-12-07,15:00:00,MVP Arena,Albany,United States Of America,42.64834,-73.753957,Ice Shows,Ice Shows,20.0,USD
V-U2 An Immersive Concert Film at Sphere Las Vegas,1AvjZbKGkSnh4PB,https://www.ticketmaster.com/vu2-an-immersive-concert-film-at-las-vegas-nevada-11-27-2024/event/1700613CEA6D597A,2024-11-27,21:30:00,Sphere,Las Vegas,United States Of America,36.1207267,-115.1642896,Spectacular,Spectacular,79.0,USD
Charlotte Hornets vs. Los Angeles Lakers,G5eVZbCHkpa2G,https://www.ticketmaster.com/charlotte-hornets-vs-los-angeles-lakers-charlotte-north-carolina-01-27-2025/event/2D0060EF065893CC,2025-01-27,19:00:00,Spectrum Center ,Charlotte,United States Of America,35.225222,-80.839921,Basketball,NBA,95.0,USD
SHANIA TWAIN - COME ON OVER The Las Vegas Residency - All The Hits!,G5d0Z9YlaOoPg,https://www.ticketmaster.com/shania-twain-come-on-over-the-las-vegas-nevada-11-29-2024/event/39005F0AC9811975,2024-11-29,20:00:00,PH Live at Planet Hollywood,Las Vegas,United States Of America,36.10961689,-115.17247058,Country,Country,110.0,USD
Buffalo Sabres vs. Chicago Blackhawks,k7vGFbulQlbRE,https://www.ticketmaster.com/buffalo-sabres-vs-chicago-blackhawks-buffalo-new-york-12-27-2024/event/000060DADAAD8BE7,2024-12-27,19:00:00,KeyBank Center,Buffalo,United States Of America,42.874941,-78.8762239,Hockey,NHL,39.0,USD
Detroit Lions vs. Buffalo Bills,vv1AFZkeoGkd783ix,https://www.ticketmaster.com/detroit-lions-vs-buffalo-bills-detroit-michigan-12-15-2024/event/08006091C4412B22,2024-12-15,16:25:00,Ford Field,Detroit,United States Of America,42.339924,-83.045543,Football,NFL,999.0,USD
Boston Bruins vs. Philadelphia Flyers,vvG17ZbuE4O6bo,https://www.ticketmaster.com/boston-bruins-vs-philadelphia-flyers-boston-massachusetts-12-07-2024/event/010060D9D5807611,2024-12-07,13:00:00,TD Garden,Boston,United States Of America,42.365841,-71.060724,Hockey,NHL,160.0,USD
Chicago Bulls vs. Boston Celtics,vv1A7Zk78GkeHdfQX,https://www.ticketmaster.com/chicago-bulls-vs-boston-celtics-chicago-illinois-11-29-2024/event/04006110BC0D46BE,2024-11-29,19:00:00,United Center,Chicago,United States Of America,41.88124412,-87.67427375,Basketball,NBA,89.0,USD
Boston Bruins vs. Detroit Red Wings,vvG17ZbuE4L69q,https://www.ticketmaster.com/boston-bruins-vs-detroit-red-wings-boston-massachusetts-12-03-2024/event/010060D9D57C75DD,2024-12-03,19:00:00,TD Garden,Boston,United States Of America,42.365841,-71.060724,Hockey,NHL,95.0,USD
Tennessee Titans vs. Cincinnati Bengals,G5viZb1134eYL,https://www.ticketmaster.com/tennessee-titans-vs-cincinnati-bengals-nashville-tennessee-12-15-2024/event/1B0060A292542C1F,2024-12-15,12:00:00,Nissan Stadium,Nashville,United States Of America,36.166208,-86.771413,Football,NFL,998.0,USD
V-U2 An Immersive Concert Film at Sphere Las Vegas,1AvjZbKGkSE_4L5,https://www.ticketmaster.com/vu2-an-immersive-concert-film-at-las-vegas-nevada-11-29-2024/event/1700613CE76557CB,2024-11-29,19:00:00,Sphere,Las Vegas,United States Of America,36.1207267,-115.1642896,Spectacular,Spectacular,79.0,USD
Golden State Warriors vs. Los Angeles Lakers,G5vYZb8wAiwAh,https://www.ticketmaster.com/golden-state-warriors-vs-los-angeles-san-francisco-california-01-25-2025/event/1C00610C85B3215B,2025-01-25,17:30:00,Chase Center,San Francisco,United States Of America,37.76797,-122.387464,Basketball,NBA,250.0,USD
Milwaukee Bucks vs. Washington Wizards,vv1a6Zk7AA67SZeGe,https://www.ticketmaster.com/milwaukee-bucks-vs-washington-wizards-milwaukee-wisconsin-11-30-2024/event/07006105147133B1,2024-11-30,19:00:00,Fiserv Forum,Milwaukee,United States Of America,43.04228,-87.916896,Basketball,NBA,19.0,USD
Detroit Red Wings vs. Colorado Avalanche,vvG1OZbC1JFwbo,https://www.ticketmaster.com/detroit-red-wings-vs-colorado-avalanche-detroit-michigan-12-07-2024/event/080060E2A6232611,2024-12-07,19:00:00,Little Caesars Arena,Detroit,United States Of America,42.341089,-83.055434,Hockey,NHL,67.0,USD
SHANIA TWAIN - COME ON OVER The Las Vegas Residency - All The Hits!,G5d0Z9Yla-vPz,https://www.ticketmaster.com/shania-twain-come-on-over-the-las-vegas-nevada-11-30-2024/event/39005F0AC9841978,2024-11-30,20:00:00,PH Live at Planet Hollywood,Las Vegas,United States Of America,36.10961689,-115.17247058,Country,Country,100.0,USD
Detroit Red Wings vs. St. Louis Blues,vvG1OZbC1JuxjG,https://www.ticketmaster.com/detroit-red-wings-vs-st-louis-detroit-michigan-12-23-2024/event/080060E2A636270C,2024-12-23,19:00:00,Little Caesars Arena,Detroit,United States Of America,42.341089,-83.055434,Hockey,NHL,45.0,USD
Pittsburgh Penguins vs. Calgary Flames,17AOvOG6ul_YgmP,https://www.ticketmaster.com/pittsburgh-penguins-vs-calgary-flames-pittsburgh-pennsylvania-11-30-2024/event/160060DAD9C35BA5,2024-11-30,19:00:00,PPG Paints Arena,Pittsburgh,United States Of America,40.4388401,-79.9908551,Hockey,NHL,61.0,USD
SHANIA TWAIN - COME ON OVER The Las Vegas Residency - All The Hits!,G5d0Z9YlaxoPH,https://www.ticketmaster.com/shania-twain-come-on-over-the-las-vegas-nevada-12-06-2024/event/39005F0AC989197C,2024-12-06,20:00:00,PH Live at Planet Hollywood,Las Vegas,United States Of America,36.10961689,-115.17247058,Country,Country,110.0,USD
